date,Battery (Charging) -  MW,Battery (Discharging) -  MW,Bioenergy (Biogas) -  MW,Bioenergy (Biogas) Emissions Vol - tCO₂e,Bioenergy (Biomass) -  MW,Bioenergy (Biomass) Emissions Vol - tCO₂e,Coal (Black) -  MW,Coal (Black) Emissions Vol - tCO₂e,Distillate -  MW,Distillate Emissions Vol - tCO₂e,Gas (CCGT) -  MW,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) -  MW,Gas (OCGT) Emissions Vol - tCO₂e,Hydro -  MW,Solar (Rooftop) -  MW,Solar (Utility) -  MW,Wind -  MW,Price - AUD/MWh,Temperature - C,Emissions Intensity - kgCO₂e/MWh
2026-06-08 18:05:00,-0.55,343.06,7.43,0.05,28.2,,937.87,64.3,0.56,0.03,331.22,11.04,429.26,28.54,0.0,0.0,19.77,757.02,134.65,0.0,437.12
2026-06-08 18:10:00,-0.55,337.26,7.42,0.05,27.0,,940.67,64.53,0.56,0.03,331.07,11.03,427.04,28.43,0.0,0.0,19.77,757.21,134.31,0.0,438.57
2026-06-08 18:15:00,0.0,309.03,7.42,0.05,27.0,,950.48,65.3,0.56,0.03,331.23,11.04,427.41,28.45,0.0,0.0,19.77,760.89,135.11,0.0,444.05
2026-06-08 18:20:00,0.0,291.41,7.42,0.05,28.22,,959.92,66.05,0.56,0.03,331.9,11.06,428.55,28.55,0.0,0.0,19.77,764.36,135.02,0.0,448.03
2026-06-08 18:25:00,0.0,301.18,7.42,0.05,29.46,,968.03,66.7,0.56,0.03,330.41,11.01,416.82,27.68,0.0,0.0,15.8,756.88,127.74,0.0,447.73
2026-06-08 18:30:00,0.0,289.09,7.42,0.05,29.46,,980.01,67.65,0.56,0.03,327.46,10.91,403.16,26.57,0.0,0.0,10.8,767.98,127.58,0.0,448.34
2026-06-08 18:35:00,0.0,278.73,7.42,0.05,28.23,,987.79,68.26,0.56,0.03,327.61,10.91,404.36,26.66,0.0,0.0,10.8,763.04,126.5,0.0,452.56
2026-06-08 18:40:00,0.0,260.6,7.42,0.05,28.23,,990.93,68.51,0.56,0.03,327.84,10.92,410.35,27.22,0.0,0.0,10.8,749.84,115.12,0.0,459.6
2026-06-08 18:45:00,0.0,279.34,7.42,0.05,29.45,,991.18,68.52,0.56,0.03,326.85,10.89,401.73,26.6,0.0,0.0,10.8,741.63,115.0,0.0,456.48
2026-06-08 18:50:00,0.0,267.17,7.42,0.05,29.45,,989.2,68.37,0.56,0.03,327.79,10.92,402.23,26.63,0.0,0.0,10.8,735.53,115.0,0.0,459.19
2026-06-08 18:55:00,0.0,270.68,7.31,0.05,29.45,,987.8,68.26,0.56,0.03,327.56,10.91,401.45,26.58,0.0,0.0,10.8,730.29,115.24,0.0,459.17
2026-06-08 19:00:00,0.0,277.41,7.31,0.05,29.45,,987.05,68.21,0.56,0.03,327.67,10.92,401.72,26.59,0.0,0.0,10.8,705.13,115.12,0.0,462.14
2026-06-08 19:05:00,0.0,291.17,7.31,0.05,28.23,,989.73,68.42,0.56,0.03,327.84,10.92,393.92,25.95,0.0,0.0,10.8,686.98,115.12,0.0,462.04
2026-06-08 19:10:00,0.0,288.15,7.31,0.05,28.23,,992.18,68.61,0.56,0.03,325.14,10.83,393.54,25.94,0.0,0.0,10.8,674.26,115.12,0.0,465.26
2026-06-08 19:15:00,0.0,293.48,7.31,0.05,28.23,,991.21,68.53,0.56,0.03,324.49,10.81,393.15,25.94,0.0,0.0,10.8,660.41,114.24,0.0,466.63
2026-06-08 19:20:00,0.0,293.94,7.31,0.05,28.23,,989.03,68.36,0.56,0.03,325.32,10.84,394.27,26.01,0.0,0.0,10.8,647.67,114.24,0.0,468.42
2026-06-08 19:25:00,0.0,311.51,7.31,0.05,28.23,,987.32,68.22,0.56,0.03,325.35,10.84,390.01,25.78,0.0,0.0,10.8,627.08,119.99,0.0,468.36
2026-06-08 19:30:00,0.0,309.91,7.31,0.05,29.46,,987.04,68.2,0.56,0.03,325.63,10.85,393.15,25.98,0.0,0.0,10.8,610.03,119.99,0.0,471.71
2026-06-08 19:35:00,0.0,321.83,7.31,0.05,29.46,,986.45,68.16,0.56,0.03,325.63,10.85,394.33,26.02,0.0,0.0,10.8,585.8,119.99,0.0,473.77
2026-06-08 19:40:00,0.0,318.1,7.31,0.05,29.46,,987.92,68.26,0.56,0.03,325.5,10.84,392.47,25.9,0.0,0.0,10.8,580.76,119.86,0.0,475.33
2026-06-08 19:45:00,0.0,308.09,7.31,0.05,29.46,,986.51,68.16,0.56,0.03,325.65,10.85,392.17,25.92,0.0,0.0,10.8,581.74,119.83,0.0,476.88
2026-06-08 19:50:00,0.0,305.61,7.31,0.05,29.46,,987.43,68.23,0.56,0.03,325.53,10.85,392.41,25.93,0.0,0.0,10.8,567.32,119.57,0.0,480.15
2026-06-08 19:55:00,-0.6,297.93,7.31,0.05,28.24,,988.22,68.29,0.56,0.03,325.66,10.85,391.93,25.93,0.0,0.0,10.8,566.29,114.25,0.0,482.27
2026-06-08 20:00:00,0.0,288.57,7.31,0.05,28.24,,986.93,68.2,0.56,0.03,325.39,10.84,393.89,26.05,0.0,0.0,10.8,555.32,114.25,0.0,485.96
2026-06-08 20:05:00,0.0,292.96,7.31,0.05,28.24,,978.42,67.55,0.56,0.03,325.68,10.85,393.41,26.04,0.0,0.0,10.8,548.37,114.25,0.0,485.01
2026-06-08 20:10:00,0.0,275.32,7.31,0.05,29.45,,973.85,67.2,0.56,0.03,325.68,10.85,393.46,26.0,0.0,0.0,10.8,556.32,113.99,0.0,485.66
2026-06-08 20:15:00,0.0,269.69,7.31,0.05,29.45,,974.69,67.26,0.56,0.03,325.83,10.86,393.53,25.99,0.0,0.0,5.46,559.76,106.16,0.0,487.18
2026-06-08 20:20:00,0.0,272.82,7.31,0.05,29.45,,974.18,67.22,0.56,0.03,326.11,10.86,393.85,26.02,0.0,0.0,1.6,554.93,104.81,0.0,488.22
2026-06-08 20:25:00,0.0,258.11,7.31,0.05,29.45,,972.06,67.06,0.56,0.03,325.86,10.86,393.23,25.99,0.0,0.0,1.6,556.14,109.45,0.0,490.44
2026-06-08 20:30:00,-0.6,229.32,7.31,0.05,29.45,,971.2,66.99,0.56,0.03,326.13,10.87,391.28,25.9,0.0,0.0,1.6,563.16,109.41,0.0,494.57
2026-06-08 20:35:00,-0.29,211.79,7.31,0.05,30.72,,969.15,66.83,0.56,0.03,326.26,10.87,392.37,25.95,0.0,0.0,1.6,562.79,107.83,0.0,497.44
2026-06-08 20:40:00,-1.81,195.31,7.31,0.05,31.92,,964.4,66.47,0.56,0.03,326.13,10.87,390.36,25.8,0.0,0.0,1.6,572.24,109.52,0.0,497.82
2026-06-08 20:45:00,-1.81,174.14,7.31,0.05,31.92,,962.03,66.28,0.56,0.03,314.46,10.48,392.64,25.92,0.0,0.0,1.6,587.41,109.45,0.0,499.2
2026-06-08 20:50:00,-14.49,168.52,7.31,0.05,31.92,,960.88,66.2,0.56,0.03,285.81,9.52,391.89,25.88,0.0,0.0,1.6,625.99,107.46,0.0,496.01
2026-06-08 20:55:00,-9.61,105.11,7.31,0.05,31.92,,961.64,66.26,0.56,0.03,270.97,9.03,392.06,25.93,0.0,0.0,1.6,675.06,111.25,0.0,498.86
2026-06-08 21:00:00,-5.71,47.67,7.31,0.05,31.92,,960.85,66.2,0.56,0.03,269.89,8.99,393.98,26.0,0.0,0.0,1.6,707.48,109.48,0.0,503.1
2026-06-08 21:05:00,-90.46,105.0,7.31,0.05,31.92,,958.01,65.98,0.56,0.03,269.58,8.98,391.78,25.87,0.0,0.0,1.6,727.09,104.71,0.0,504.06
2026-06-08 21:10:00,-132.75,114.11,7.31,0.05,31.92,,956.09,65.84,0.56,0.03,269.89,8.99,393.66,26.0,0.0,0.0,1.6,737.92,106.35,0.0,508.7
2026-06-08 21:15:00,-71.0,18.37,7.31,0.05,31.92,,956.62,65.87,0.56,0.03,270.32,9.01,394.2,26.03,0.0,0.0,1.6,752.7,106.35,0.0,512.92
2026-06-08 21:20:00,-87.11,3.71,7.31,0.05,30.7,,952.59,65.56,0.56,0.03,270.33,9.01,394.72,26.05,0.0,0.0,1.6,771.08,98.59,0.0,515.19
2026-06-08 21:25:00,-111.02,0.0,7.31,0.05,30.7,,944.57,64.95,0.56,0.03,270.17,9.0,393.58,25.97,0.0,0.0,1.59,796.32,107.97,0.0,514.16
2026-06-08 21:30:00,-159.0,13.5,7.31,0.05,30.7,,942.63,64.8,0.56,0.03,270.49,9.01,394.65,26.02,0.0,0.0,1.59,801.71,107.97,0.0,520.29
2026-06-08 21:35:00,-185.93,25.95,7.31,0.05,30.7,,943.06,64.83,0.56,0.03,270.48,9.01,394.96,26.06,0.0,0.0,1.59,796.71,109.64,0.0,524.95
2026-06-08 21:40:00,-205.65,21.81,7.31,0.05,30.7,,948.02,65.22,0.56,0.03,270.48,9.01,395.78,26.11,0.0,0.0,1.59,792.9,109.72,0.0,532.36
2026-06-08 21:45:00,-250.98,45.32,7.31,0.05,30.7,,955.34,65.77,0.56,0.03,282.67,9.42,396.17,26.12,0.0,0.0,1.59,785.6,109.72,0.0,539.71
2026-06-08 21:50:00,-295.19,50.05,7.31,0.05,30.7,,961.02,66.21,0.56,0.03,309.44,10.31,395.4,26.08,0.0,0.0,1.59,784.11,109.72,0.0,548.84
2026-06-08 21:55:00,-315.98,17.75,7.31,0.05,30.7,,967.96,66.74,0.56,0.03,322.63,10.75,398.23,26.25,0.0,0.0,1.59,788.12,109.6,0.0,561.46
2026-06-08 22:00:00,-335.96,12.58,7.31,0.05,30.7,,972.3,67.08,0.56,0.03,325.26,10.84,395.99,26.1,0.0,0.0,1.59,787.87,109.6,0.0,568.24
2026-06-08 22:05:00,-364.45,8.71,7.31,0.05,30.7,,976.62,67.41,0.56,0.03,325.9,10.86,395.65,26.05,0.0,0.0,1.59,792.48,109.6,0.0,575.91
2026-06-08 22:10:00,-389.19,11.28,7.31,0.05,30.7,,975.84,67.35,0.56,0.03,326.17,10.87,394.5,25.98,0.0,0.0,1.59,795.48,100.15,0.0,580.86
2026-06-08 22:15:00,-411.14,12.83,7.31,0.05,31.91,,976.11,67.37,0.56,0.03,325.91,10.86,395.59,26.08,0.0,0.0,1.59,800.49,100.11,0.0,585.01
2026-06-08 22:20:00,-427.59,10.04,7.31,0.05,31.91,,975.35,67.31,0.56,0.03,325.75,10.85,392.45,25.91,0.0,0.0,1.59,808.95,100.19,0.0,587.78
2026-06-08 22:25:00,-394.96,6.14,6.92,0.04,31.91,,972.01,67.06,0.56,0.03,326.29,10.87,340.64,23.27,0.0,0.0,1.59,821.48,92.37,0.0,575.29
2026-06-08 22:30:00,-334.45,0.0,6.8,0.04,31.91,,953.02,65.6,0.56,0.03,326.29,10.87,283.11,20.0,0.0,0.0,1.59,820.41,93.3,0.0,554.55
2026-06-08 22:35:00,-365.24,13.93,6.8,0.04,30.7,,935.26,64.24,0.56,0.03,326.43,10.88,311.97,21.14,0.0,0.0,1.59,808.1,93.3,0.0,558.45
2026-06-08 22:40:00,-353.26,18.16,6.8,0.04,30.7,,915.23,62.7,0.56,0.03,326.55,10.88,318.36,21.43,0.0,0.0,1.59,793.4,93.3,0.0,554.43
2026-06-08 22:45:00,-345.28,8.37,6.8,0.04,30.7,,897.72,61.36,0.56,0.03,325.99,10.86,319.22,21.46,0.0,0.0,1.59,798.71,93.3,0.0,550.38
2026-06-08 22:50:00,-352.45,0.2,6.8,0.04,30.7,,880.69,60.05,0.56,0.03,325.6,10.85,320.07,21.49,0.0,0.0,1.59,823.21,93.3,0.0,544.76
2026-06-08 22:55:00,-366.12,1.16,6.8,0.04,30.7,,863.43,58.73,0.56,0.03,325.47,10.84,314.21,21.27,0.0,0.0,1.59,833.92,93.3,0.0,542.35
2026-06-08 23:00:00,-354.76,15.74,6.8,0.04,30.7,,846.39,57.43,0.56,0.03,325.99,10.86,304.37,20.84,0.0,0.0,1.59,820.57,93.3,0.0,535.81
2026-06-08 23:05:00,-334.09,27.33,6.67,0.04,30.7,,828.85,56.08,0.56,0.03,326.42,10.88,304.89,20.89,0.0,0.0,1.59,794.23,93.3,0.0,531.0
2026-06-08 23:10:00,-332.86,29.86,6.67,0.04,30.7,,810.58,54.68,0.56,0.03,326.55,10.88,329.11,21.95,0.0,0.0,1.59,780.01,94.01,0.0,530.1
2026-06-08 23:15:00,-338.16,21.75,6.67,0.04,30.7,,795.98,53.56,0.56,0.03,327.13,10.9,339.94,22.45,0.0,0.0,1.59,783.49,94.01,0.0,530.01
2026-06-08 23:20:00,-341.93,14.95,6.67,0.04,30.7,,789.3,53.05,0.56,0.03,326.98,10.89,332.01,22.09,0.0,0.0,1.59,800.1,93.3,0.0,526.9
2026-06-08 23:25:00,-340.66,17.52,6.67,0.04,31.91,,784.22,52.65,0.56,0.03,326.98,10.89,318.56,21.86,0.0,0.0,1.59,796.98,94.58,0.0,527.56
2026-06-08 23:30:00,-340.66,17.64,6.67,0.04,31.91,,782.35,52.51,0.56,0.03,326.73,10.89,320.82,22.77,0.0,0.0,1.59,788.64,94.58,0.0,534.51
2026-06-08 23:35:00,-348.54,8.01,6.67,0.04,31.91,,789.45,53.06,0.56,0.03,326.44,10.88,314.28,22.63,0.0,0.0,1.59,796.53,94.01,0.0,539.53
2026-06-08 23:40:00,-364.0,0.0,6.67,0.04,30.7,,790.45,53.13,0.56,0.03,326.44,10.88,348.97,24.08,0.0,0.0,1.59,784.25,99.44,0.0,549.45
2026-06-08 23:45:00,-419.59,0.0,6.67,0.04,30.7,,792.07,53.26,0.56,0.03,326.68,10.88,393.81,26.02,0.0,0.0,1.59,767.95,103.17,0.0,569.81
2026-06-08 23:50:00,-474.27,42.54,6.67,0.04,30.7,,796.43,53.59,0.56,0.03,327.21,10.9,392.91,25.96,0.0,0.0,1.59,758.76,103.25,0.0,576.93
2026-06-08 23:55:00,-522.1,56.69,6.67,0.04,30.7,,802.29,54.04,0.56,0.03,326.91,10.89,392.61,25.93,0.0,0.0,1.59,764.84,107.27,0.0,586.42
2026-06-09 00:00:00,-450.57,7.3,6.67,0.04,30.7,,802.23,54.04,0.56,0.03,326.79,10.89,393.46,25.98,0.0,0.0,1.59,752.52,107.27,15.5,583.45
2026-06-09 00:05:00,-449.41,12.69,6.67,0.04,30.7,,797.7,53.69,0.56,0.03,326.54,10.88,392.83,25.95,0.0,0.0,1.59,746.76,107.34,15.5,582.4
2026-06-09 00:10:00,-462.66,1.22,6.67,0.04,30.7,,794.68,53.45,0.56,0.03,326.42,10.88,391.86,25.87,0.0,0.0,1.59,759.17,102.99,15.5,585.49
2026-06-09 00:15:00,-481.51,4.65,6.67,0.04,30.7,,795.44,53.52,0.56,0.03,326.42,10.88,394.53,26.04,0.0,0.0,1.59,769.97,102.99,15.5,587.39
2026-06-09 00:20:00,-491.05,9.77,6.67,0.04,30.7,,795.12,53.49,0.56,0.03,326.42,10.88,394.41,26.03,0.0,0.0,1.59,776.35,102.99,15.5,586.68
2026-06-09 00:25:00,-518.94,0.94,6.67,0.04,30.7,,799.96,53.87,0.56,0.03,326.57,10.88,394.64,26.05,0.0,0.0,1.59,796.69,102.99,15.5,592.88
2026-06-09 00:30:00,-541.67,5.0,6.67,0.04,30.7,,804.24,54.19,0.56,0.03,326.7,10.88,393.5,26.05,0.0,0.0,1.59,808.04,102.99,15.5,596.3
2026-06-09 00:35:00,-563.86,3.73,6.8,0.04,30.7,,804.38,54.2,0.56,0.03,326.44,10.88,394.72,26.12,0.0,0.0,1.59,820.35,102.99,15.45,600.01
2026-06-09 00:40:00,-503.73,5.46,7.17,0.05,30.7,,803.78,54.17,0.56,0.03,315.47,10.51,326.33,22.43,0.0,0.0,1.59,832.75,89.66,15.4,574.8
2026-06-09 00:45:00,-362.88,2.44,7.42,0.05,30.7,,796.23,53.58,0.56,0.03,293.37,9.77,211.22,15.86,0.0,0.0,1.59,837.02,86.86,15.35,523.53
2026-06-09 00:50:00,-380.55,8.75,7.42,0.05,30.7,,786.51,52.82,0.56,0.03,291.38,9.71,216.07,16.15,0.0,0.0,1.59,837.08,87.2,15.3,525.21
2026-06-09 00:55:00,-380.8,14.19,7.42,0.05,30.7,,780.04,52.32,0.56,0.03,289.95,9.66,224.09,16.69,0.0,0.0,1.59,837.4,84.56,15.25,523.5
2026-06-09 01:00:00,-369.91,11.65,7.42,0.05,30.7,,776.36,52.03,0.56,0.03,290.2,9.67,215.82,16.15,0.0,0.0,1.59,837.83,84.56,15.2,518.85
2026-06-09 01:05:00,-388.49,9.86,7.42,0.05,30.7,,772.44,51.72,0.56,0.03,290.82,9.69,227.5,17.49,0.0,0.0,1.59,828.33,84.56,15.29,532.21
2026-06-09 01:10:00,-363.14,1.73,7.42,0.05,30.7,,767.06,51.3,0.56,0.03,290.15,9.67,230.9,17.76,0.0,0.0,1.59,834.14,86.24,15.38,525.07
2026-06-09 01:15:00,-360.05,7.03,7.39,0.05,30.7,,763.56,51.02,0.56,0.03,289.89,9.66,212.98,16.53,0.0,0.0,1.59,838.1,86.24,15.47,517.63
2026-06-09 01:20:00,-368.03,1.86,7.39,0.05,30.7,,762.5,50.93,0.56,0.03,290.55,9.68,206.89,16.06,0.0,0.0,1.59,838.47,86.24,15.57,519.63
2026-06-09 01:25:00,-363.49,0.63,7.39,0.05,30.7,,760.39,50.76,0.56,0.03,290.06,9.66,213.11,16.47,0.0,0.0,1.59,821.99,86.24,15.66,523.94
2026-06-09 01:30:00,-322.07,1.98,7.39,0.05,30.7,,759.33,50.68,0.56,0.03,289.93,9.66,178.86,14.22,0.0,0.0,1.59,820.32,86.24,15.75,506.38
2026-06-09 01:35:00,-347.38,8.4,7.39,0.05,30.7,,761.42,50.84,0.56,0.03,291.08,9.7,191.23,15.04,0.0,0.0,1.59,823.41,86.24,15.6,513.4
2026-06-09 01:40:00,-374.12,0.0,7.39,0.05,30.7,,760.53,50.77,0.56,0.03,302.42,10.08,222.95,17.17,0.0,0.0,1.59,829.77,92.82,15.46,525.93
2026-06-09 01:45:00,-429.32,0.0,7.39,0.05,30.7,,759.88,50.72,0.56,0.03,322.61,10.75,246.67,18.76,0.0,0.0,1.59,831.21,92.95,15.31,544.07
2026-06-09 01:50:00,-461.11,0.0,7.39,0.05,30.7,,761.83,50.87,0.56,0.03,325.97,10.86,267.58,20.13,0.0,0.0,1.59,830.58,92.95,15.17,557.06
2026-06-09 01:55:00,-456.96,6.34,7.39,0.05,30.7,,761.87,50.87,0.56,0.03,326.69,10.88,258.03,19.48,0.0,0.0,1.59,817.14,92.95,15.02,556.54
2026-06-09 02:00:00,-446.88,12.91,7.39,0.05,30.7,,761.64,50.85,0.56,0.03,327.11,10.9,256.54,19.37,0.0,0.0,1.59,796.52,92.95,14.88,557.39
2026-06-09 02:05:00,-425.48,12.91,7.39,0.05,30.7,,762.0,50.89,0.56,0.03,327.11,10.9,256.53,19.38,0.0,0.0,1.59,784.78,93.07,14.77,554.51
2026-06-09 02:10:00,-428.82,12.91,7.39,0.05,30.7,,761.58,50.86,0.56,0.03,327.11,10.9,256.99,19.42,0.0,0.0,1.59,775.11,92.05,14.67,558.7
